Respondent ID,Start Date,End Date,language,Please rate how often you listen to music:,,,,,,,Please write down below:,,,,Please rate how much you experience each of the following items when listening to the piece you just named,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How important are the lyrics compared to the music of the piece for you?,Please rate how often you listen to the piece you just named:,,,,,,,Tell us more: Why did you choose this piece of music? (Optional),What is your age (in years)?,What is your gender?,Please select the country in which you spent most of your childhood,Please select the country in which you mostly lived since you were 18 years old,Please select your country of residence,Which of the aforementioned countries best defines your cultural identity?,What is your highest level of education?,,Which title describes you best?,What is your current employment status?,,How would you consider your economic situation respective to your country of residence?,To what extent do you consider music to be beneficial for your wellbeing?,"Below are 16 statements with which you may agree or disagree. Using the 1-7 scale below, please indicate how much you agree with each statement.",,,,,,,,,,,,,,,,"Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other.I see myself as:",,,,,,,,,
,,,,"for background purposes (e.g. when doing something else, help pass the time, or set the atmosphere)",to bring up memories (e.g. by listening to music that takes you back to a certain time or reminds you of loved ones such as friends or relatives),"to have fun (e.g. to feel good, enjoy yourself, seek some entertainment)","to feel music's emotions (e.g. by experiencing music’s emotions, being immersed and moved by them, letting the music evoke emotions in you)","to change your mood (e.g. when you want to relax, feel better, feel focused or creative, vent out negative thoughts or feelings, seek comfort, or feel less lonely)","to express yourself (e.g. to relate with and express your own identity, your social identity, your culture, or to reflect on values and attitudes)","to feel connected to other people (e.g. by sharing music, going to concerts together, bonding with the artists or other fans)",The name of the artist:,The title of the piece of music:,The album of the piece (Optional):,A link to the specific version of the piece you prefer (Optional):,Relaxation,Spirituality,Consolation,Security,Strength,Enthusiasm,Pride,Freedom,Happiness,Pleasure,Love,Sadness,Longing,Vulnerability,Being moved,Nostalgia,Tenderness,Empathy,Curiousity,Amusement,Anger,Tension,Belonging,Loneliness,Pain,Beauty,Eroticism,Energy,Agression,Fear,Dreaminess,Triumph,Rebelliousness,"If there are <strong>other emotions</strong> that you associate with this piece, please name them in the box below:",Response,for background purposes,to bring up memories,to have fun,to feel music's emotions,to change your mood,to express yourself,to feel connected to other people,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Other (please specify),Response,Response,Other (please specify),Response,Response,I'd rather depend on myself than others,I rely on myself most of the time; I rarely rely on others,"I often do ""my own thing""","My personal identity, independent of others, is very important to me",It is important that I do my job better than others,Winning is everything,Competition is the law of nature,"When another person does better than I do, I get tense and aroused","If a colleague gets a prize, I would feel proud",The well-being of my colleagues is important to me,"To me, pleasure is spending time with others",I feel good when I cooperate with others,Parents and children must stay together as much as possible,"It is my duty to take care of my family, even when I have to sacrifice what I want","Family members should stick together, no matter what sacrifices are required",It is important to me that I respect the decisions made by my groups,"Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experiences, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative"
12653995998,05/13/2021 04:42:48 PM,05/13/2021 04:54:26 PM,en,4,4,3,4,5,3,4,Hotel California,The eagles,,,3,2,2,3,2,2,3,2,3,4,3,2,2,3,3,2,3,4,2,3,4,3,3,3,3,3,3,4,3,3,2,2,3,,3,3,3,4,4,3,3,4,,30,2,185,185,185,185,1,,4,7,,3,2,5,4,5,6,7,5,4,4,4,4,5,5,5,4,4,4,4,5,6,6,5,5,5,5,6,4
12653998352,05/13/2021 04:43:32 PM,05/13/2021 04:46:59 PM,en,5,3,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12653956018,05/13/2021 04:30:09 PM,05/13/2021 04:40:47 PM,en,3,2,3,5,4,4,4,Sweet and Wild,Stay Here Forever,,,3,1,3,3,3,4,2,2,3,4,2,3,2,2,3,4,4,4,2,3,2,3,4,3,3,3,2,3,3,3,3,3,2,,2,3,3,4,3,3,2,3,,28,2,185,185,185,185,1,,4,3,,1,2,5,4,5,5,5,6,6,5,4,5,5,6,7,5,4,6,5,4,5,5,5,6,5,5,4,5
12653910098,05/13/2021 04:15:17 PM,05/13/2021 04:28:19 PM,en,4,4,5,3,5,4,4,Robyn Rihanna Fenty,Diamonds,,,2,3,3,2,3,3,3,3,3,4,3,3,4,3,4,3,2,3,3,3,2,3,3,3,3,2,3,2,2,2,3,4,3,,3,3,3,3,4,3,4,3,,32,2,185,185,185,185,5,,3,2,,1,2,5,4,4,4,5,5,5,6,5,5,5,6,6,6,5,4,5,4,5,6,5,5,5,6,5,5
12653866932,05/13/2021 04:01:36 PM,05/13/2021 04:13:11 PM,en,4,3,3,3,4,4,4,Alyssa Reid,Time Bomb,,,2,3,2,3,2,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,2,3,2,2,3,3,4,3,2,2,4,,1,3,3,3,4,4,3,4,,29,2,185,185,185,185,3,,2,7,,2,4,6,5,5,4,5,5,6,5,5,4,4,4,5,5,5,6,6,5,5,5,4,5,5,5,6,6
12653689744,05/13/2021 02:57:18 PM,05/13/2021 03:20:20 PM,en,4,4,3,3,4,4,4,Justin Bieber,Bady,,,3,3,3,4,2,3,2,4,2,4,3,3,3,3,3,3,4,3,3,3,3,3,4,2,3,2,3,2,2,3,4,4,3,,1,3,3,3,3,4,4,4,,24,2,185,185,185,185,6,,2,2,,3,4,6,5,6,6,5,6,6,6,6,7,6,6,6,6,5,5,5,6,6,5,4,5,5,5,5,6
12653648893,05/13/2021 02:40:20 PM,05/13/2021 02:53:05 PM,en,4,3,4,4,5,3,4,Miley Cyrus,Wrecking Ball,,,3,3,3,3,4,4,3,4,3,2,4,3,3,2,3,2,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,,4,4,4,4,3,3,3,3,,24,2,185,185,185,185,4,,2,6,,1,2,6,5,5,4,5,5,5,4,4,5,5,6,5,5,5,5,5,5,4,5,5,6,6,5,5,4
12653590087,05/13/2021 02:13:44 PM,05/13/2021 02:32:09 PM,es,2,3,3,4,3,4,2,Compositor: Tchaikovsky,Concierto para violín,,Intérprete: Vengerov,2,4,3,3,4,3,3,4,4,4,4,2,3,3,4,3,4,3,3,2,2,1,4,2,3,4,2,4,1,2,3,3,4,,1,2,5,1,4,3,4,2,"Porque es uno de mis conciertos favoritos entre otros, claro. Además me dió mucha felicidad abordar ese concierto en el violín",33,1,10,4,4,10,5,,5,3,,2,4,7,2,6,7,2,1,1,1,7,7,7,7,4,6,1,2,3,5,6,2,5,7,6,5,6,2
12653541499,05/13/2021 01:51:03 PM,05/13/2021 02:11:38 PM,es,5,4,4,3,4,3,4,Fleetwood Mac,Landslide,,Fast alle Cover,2,2,4,2,3,2,1,3,3,2,4,2,2,4,3,4,2,3,1,1,1,1,2,1,1,4,1,2,1,1,3,1,1,Geborgenheit,3,2,4,2,5,3,4,4,Weil ich es immer und in allen Versionen und Covern schön finde. ,32,1,136,1,1,1,0,Fachabitur,2,7,,2,4,6,5,5,6,4,1,1,1,5,4,6,4,4,1,1,3,7,2,6,2,7,2,6,2,6,1
12653557852,05/13/2021 01:59:09 PM,05/13/2021 02:07:01 PM,en,3,3,4,3,4,3,4,Vincent Frank,Wrecking Ball,Do It In The AM,,2,3,3,2,3,3,3,3,3,3,4,2,4,4,3,4,3,4,3,3,3,3,3,3,2,4,3,4,3,3,3,3,2,,3,4,4,3,4,4,5,5,,24,2,185,185,185,185,3,,1,5,,1,4,6,5,4,4,5,5,5,6,5,4,5,5,5,6,5,5,5,6,5,4,5,5,4,5,5,5
12653557528,05/13/2021 01:58:59 PM,05/13/2021 02:02:56 PM,es,4,5,4,5,4,5,5,Gustav Mahler,Sinfonía 2 Resurrección ,,,3,4,3,3,4,3,4,4,4,4,3,3,3,2,3,3,4,4,4,4,3,2,4,1,2,4,3,4,4,1,3,4,4,,4,1,5,4,4,3,5,2,,31,2,1,1,4,1,4,,5,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
12653522206,05/13/2021 01:41:42 PM,05/13/2021 01:53:59 PM,en,4,4,3,5,4,3,3,Lana Del Rey,Young and Beautiful,,,4,3,2,3,3,2,4,4,3,3,3,3,3,2,3,4,3,3,2,3,3,3,4,2,3,3,3,3,3,3,3,4,3,,5,2,3,3,4,3,3,3,,24,2,185,185,185,185,2,,4,4,,2,3,6,5,5,4,5,5,5,6,5,4,5,5,5,6,6,5,5,5,4,5,5,4,4,4,5,5
12653473471,05/13/2021 01:17:17 PM,05/13/2021 01:28:11 PM,es,5,5,4,2,2,2,3,sting,shape of my heart,,https://www.youtube.com/watch?v=QK-Z1K67uaA&ab_channel=CristianNicolae,4,1,1,1,3,3,1,3,3,4,2,1,1,2,1,4,1,2,3,1,1,1,1,1,2,4,1,2,1,1,3,2,1,,4,4,4,2,3,1,1,1,,20,2,10,39,63,39,5,,3,4,,1,4,6,2,5,7,5,3,5,6,5,5,7,6,5,4,3,7,2,5,7,4,6,7,5,1,6,5
12653458722,05/13/2021 01:10:09 PM,05/13/2021 01:20:38 PM,en,4,4,4,3,3,3,4,Adele Adkins,HELLO,,,3,3,3,3,3,2,3,4,3,3,3,4,3,2,4,3,3,3,4,2,3,4,4,3,4,2,2,2,3,3,3,3,3,,2,4,4,3,3,3,3,3,,23,2,185,185,185,185,2,,2,9,,2,3,5,5,4,5,5,6,5,4,5,5,5,4,5,5,4,5,5,6,4,4,5,5,5,4,5,5
12653449372,05/13/2021 01:05:21 PM,05/13/2021 01:06:08 PM,en,3,3,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12653374216,05/13/2021 12:28:34 PM,05/13/2021 12:41:08 PM,en,5,4,5,4,4,4,4,black eyed peas,boom boom pow,,,3,3,3,3,4,4,3,4,3,4,3,4,3,3,4,4,4,3,3,3,2,2,4,4,2,3,3,3,2,1,4,4,2,,4,4,4,4,4,4,4,4,,21,2,185,185,185,185,4,,1,1,,2,4,6,5,6,6,5,6,7,4,6,6,6,6,7,7,5,6,7,5,6,7,6,6,6,5,7,6
12653320169,05/13/2021 11:58:16 AM,05/13/2021 12:23:20 PM,en,4,3,2,3,3,2,3,Avril ,Innocence,,,3,3,3,2,2,2,2,3,2,3,3,2,2,3,3,2,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,2,,2,3,3,4,2,3,3,3,,18,1,185,185,185,185,3,,3,1,,2,2,3,4,5,4,3,4,5,5,4,4,3,4,5,4,3,4,3,4,5,4,3,4,5,4,3,4
12653320117,05/13/2021 11:58:12 AM,05/13/2021 12:22:43 PM,en,4,3,3,3,2,4,3,Avril ,Innocence,,,2,3,2,3,3,2,2,3,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,,3,2,3,3,4,3,3,3,,18,2,185,185,185,185,3,,3,1,,2,3,3,4,5,4,4,5,4,5,4,5,4,5,4,5,3,4,3,4,5,4,3,4,4,5,4,4
12653297161,05/13/2021 11:45:29 AM,05/13/2021 12:22:01 PM,en,4,4,4,4,4,4,4,Beatles,I Want To Hold Your Hand,,,3,3,2,3,3,3,3,2,3,2,2,2,3,3,2,3,3,2,4,3,4,3,2,3,2,3,3,2,2,2,2,3,2,,4,3,3,3,4,3,4,4,,25,2,185,185,185,185,4,,1,1,,2,3,5,5,6,5,4,5,6,5,5,6,5,4,5,6,5,5,6,5,6,5,5,5,6,4,5,6
12653320074,05/13/2021 11:58:11 AM,05/13/2021 12:22:00 PM,en,3,2,3,3,3,3,4,Avril ,Innocence,,,3,2,2,2,3,2,2,2,3,2,3,2,3,2,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,2,2,,4,2,3,4,2,3,3,3,,6,2,185,185,185,185,2,,4,4,,1,3,3,4,5,4,3,4,5,4,4,5,5,4,3,4,5,4,4,3,4,4,3,4,5,4,3,4
12653297202,05/13/2021 11:45:20 AM,05/13/2021 12:22:00 PM,en,4,4,4,4,4,4,4,Aretha Franklin,Respect,,,3,2,2,3,3,2,3,4,2,3,3,3,4,3,3,3,3,3,2,2,3,4,2,2,3,2,2,3,4,3,3,3,3,,4,4,3,4,3,3,3,4,,20,1,185,185,185,185,3,,1,1,,2,3,6,5,4,5,6,5,5,6,5,5,6,5,6,5,5,6,6,5,5,5,6,5,4,6,5,4
12653297298,05/13/2021 11:45:19 AM,05/13/2021 12:21:57 PM,en,4,4,4,4,4,4,4,U2,With or Without You,,,2,3,4,3,4,3,3,2,4,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,4,2,2,,4,3,4,3,3,3,4,4,,23,1,185,185,185,185,3,,1,1,,2,3,6,5,4,6,5,4,5,6,5,5,6,5,4,5,6,5,5,6,5,4,5,6,5,4,5,5
12653297117,05/13/2021 11:45:08 AM,05/13/2021 12:21:56 PM,en,4,4,4,4,4,4,4,Madonna Ciccone,Madonna Ciccone,,,2,2,3,4,3,2,3,4,3,3,2,3,3,3,2,4,4,3,1,2,2,2,3,3,3,2,3,3,2,2,2,2,3,,4,4,3,3,4,4,4,3,,21,1,185,185,185,185,3,,1,1,,2,3,6,5,4,5,6,5,4,5,5,6,5,4,5,6,5,5,6,5,4,5,6,5,5,4,5,6
12653297352,05/13/2021 11:45:25 AM,05/13/2021 12:21:56 PM,en,4,4,4,4,4,4,4,Backstreet boys,I Want It That Way,,,3,3,2,3,3,3,3,3,2,3,3,3,4,2,3,2,2,3,2,2,4,3,3,3,3,3,2,4,2,4,3,2,3,,4,3,3,4,3,3,4,4,,26,1,185,185,185,185,4,,1,1,,2,3,5,4,5,6,5,6,6,5,4,5,6,5,4,5,6,5,6,5,4,5,6,5,6,5,5,6
12653297122,05/13/2021 11:45:12 AM,05/13/2021 12:21:54 PM,en,4,4,4,4,4,4,4,Michael Jackson,Billie Jean,,,3,3,3,3,3,4,2,2,2,3,3,2,3,3,3,3,3,2,3,2,2,2,2,3,3,4,2,3,3,1,4,4,2,,4,3,4,4,4,3,3,4,,24,1,185,185,185,185,4,,1,1,,2,3,5,5,4,5,6,5,5,6,5,4,5,6,5,5,6,5,4,5,6,5,5,5,4,5,6,5
12653297070,05/13/2021 11:45:11 AM,05/13/2021 12:21:50 PM,en,4,4,4,4,4,4,4,Nirvana,Smells Like Teen Spirit,,,3,3,3,2,3,3,2,4,2,3,4,3,4,3,4,3,3,3,2,1,3,3,3,2,4,2,2,2,3,3,2,3,3,,4,4,4,4,3,3,3,4,,22,1,185,185,185,185,3,,1,1,,2,3,5,6,5,4,6,5,6,5,4,5,6,6,6,5,4,5,6,5,6,5,4,5,6,5,4,5
12653297010,05/13/2021 11:45:00 AM,05/13/2021 12:21:50 PM,en,4,4,4,4,4,4,4,The Beatles,yesterday,,,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,,4,3,3,4,3,4,3,3,,26,1,185,185,185,185,3,,2,1,,2,3,5,6,5,6,5,5,5,6,6,5,6,5,5,6,5,5,4,5,6,5,5,5,4,5,5,4
12653297039,05/13/2021 11:45:02 AM,05/13/2021 12:21:49 PM,en,4,4,4,4,4,4,4,Rolling Stones,Satisfaction,,,2,3,2,3,2,3,3,3,4,3,3,3,3,2,2,4,3,2,4,4,4,3,4,3,4,3,4,3,3,3,2,3,3,,4,3,5,5,4,3,4,4,,26,1,185,185,185,185,3,,1,1,,2,3,5,6,5,5,6,5,4,5,6,5,4,5,6,5,5,6,4,5,6,5,5,4,5,5,4,6
12653320043,05/13/2021 11:58:06 AM,05/13/2021 12:21:23 PM,en,3,3,3,4,3,2,4,Avril ,Innocence,,,3,3,3,2,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,,4,3,2,3,3,4,3,2,,13,1,185,185,185,185,2,,3,4,,1,3,5,4,3,4,5,4,4,3,4,5,4,3,4,5,4,4,4,3,3,4,5,4,3,3,4,5
12653297237,05/13/2021 11:45:25 AM,05/13/2021 12:20:48 PM,en,4,4,4,4,4,4,4,The Jackson 5,I Want You Back,,,2,2,2,3,2,2,3,2,2,3,3,4,4,3,3,2,3,3,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,,4,3,4,4,3,4,3,3,,28,1,185,185,185,185,3,,1,1,,2,3,6,5,4,5,6,5,5,6,6,5,6,6,5,6,5,6,6,5,5,6,5,4,5,6,5,4
12653319984,05/13/2021 11:58:04 AM,05/13/2021 12:20:39 PM,en,3,3,3,4,3,4,3,Avril ,Girlfriend,,,3,2,3,2,2,2,3,2,3,2,3,3,3,3,2,3,3,3,2,2,2,3,2,2,3,3,2,3,2,2,3,2,3,,3,3,2,3,4,3,3,2,,22,1,185,185,185,185,3,,3,1,,2,3,3,4,5,4,4,4,3,4,5,4,3,4,5,4,4,3,3,4,5,4,3,4,5,4,4,5
12653319934,05/13/2021 11:58:01 AM,05/13/2021 12:20:07 PM,en,4,3,2,3,3,4,4,Avril ,Girlfriend,,,2,2,3,2,3,2,3,2,2,3,3,2,2,3,2,2,3,2,2,2,2,3,2,3,2,2,3,3,3,3,3,2,2,,3,3,3,3,3,2,3,4,,6,1,185,185,185,185,2,,3,4,,1,3,2,3,4,5,4,3,4,4,5,4,3,4,5,4,3,4,3,4,3,4,5,4,4,4,5,4
12653319885,05/13/2021 11:57:58 AM,05/13/2021 12:19:31 PM,en,3,3,2,4,3,3,4,Avril ,Alice,,,2,2,2,3,2,3,3,2,3,3,3,3,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,2,3,3,3,2,2,,4,3,3,2,2,3,3,3,,6,1,185,185,185,185,2,,3,4,,1,2,3,4,5,4,3,4,5,4,3,4,5,4,4,3,4,5,3,4,5,3,4,3,4,4,3,4
12653319828,05/13/2021 11:57:56 AM,05/13/2021 12:18:57 PM,en,4,3,3,3,2,4,2,Avril ,Alice,,,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,3,3,3,,3,3,3,3,4,3,3,3,,9,2,185,185,185,185,2,,3,4,,1,3,3,4,5,4,3,4,4,5,4,4,5,4,4,4,3,5,4,3,3,2,3,4,5,4,4,3
12653319762,05/13/2021 11:57:52 AM,05/13/2021 12:06:00 PM,en,3,3,2,3,4,3,4, Aken,NE-YO(so sik),,,2,3,2,3,3,3,3,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3,3,2,3,3,2,2,2,2,3,,4,4,3,3,3,3,4,2,,12,2,185,185,185,185,2,,3,1,,1,3,5,4,3,3,4,4,4,5,5,4,4,4,3,3,5,4,4,3,3,2,4,5,4,4,3,4
12653319392,05/13/2021 11:57:50 AM,05/13/2021 12:02:28 PM,en,3,3,3,3,3,2,4, Aken,MR.lonely,,,2,3,3,3,2,3,3,3,3,2,3,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,,4,3,2,3,3,4,3,3,,10,2,185,185,185,185,2,,3,1,,1,3,4,4,5,5,3,4,4,5,4,3,4,3,4,5,4,3,4,3,5,4,4,4,5,4,4,4
12653305884,05/13/2021 11:50:42 AM,05/13/2021 11:56:05 AM,en,3,3,2,3,3,2,2,LadyGaGa,TeenageDream,,,2,2,3,3,2,3,2,2,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,3,2,2,2,3,2,4,2,2,2,,2,2,3,4,3,3,3,4,,7,2,4,9,10,15,4,,3,4,,1,2,3,2,4,4,3,3,3,4,4,3,5,4,4,4,3,4,3,4,4,3,4,4,3,3,3,4
12653287239,05/13/2021 11:40:06 AM,05/13/2021 11:44:11 AM,en,4,2,3,4,2,3,4,1,1,1,1,2,3,2,2,2,3,1,3,2,2,3,2,2,3,3,2,3,2,4,3,2,2,3,3,2,2,4,3,3,2,3,3,3,,3,3,3,2,4,4,3,3,,14,1,8,11,17,7,6,,3,4,,1,2,4,3,5,4,3,5,4,3,5,4,5,4,3,4,5,4,3,2,4,4,3,3,4,3,4,4
12653287488,05/13/2021 11:40:08 AM,05/13/2021 11:44:08 AM,en,3,4,4,3,2,4,2,1,1,1,1,2,3,4,2,3,3,3,3,3,2,2,2,3,3,3,2,2,1,3,1,2,2,2,1,4,3,2,3,3,2,2,2,3,,3,3,4,2,4,2,4,2,,18,1,5,12,13,5,3,,3,6,,1,2,3,2,4,3,4,3,4,3,4,3,4,3,4,2,3,4,3,4,2,4,4,3,4,4,3,4
12653275886,05/13/2021 11:33:50 AM,05/13/2021 11:39:51 AM,en,3,3,2,3,3,3,4,Jessie J, domino,,,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3,2,3,2,2,3,2,3,3,3,3,3,1,3,4,2,3,3,3,Make me feel,2,2,3,3,3,3,3,4,,13,1,6,6,6,6,7,,4,5,,1,3,4,3,4,4,3,4,4,3,4,3,4,3,3,4,4,4,4,3,3,3,4,3,4,3,4,4
12652998193,05/13/2021 02:06:55 AM,05/13/2021 11:33:58 AM,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12653240172,05/13/2021 11:13:47 AM,05/13/2021 11:21:49 AM,en,2,3,3,2,3,3,3,Michael Jackson,Man   in  the   mirror,,,2,2,3,2,2,3,3,2,3,2,1,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,3,3,,4,3,2,3,3,3,3,3,like,17,1,2,2,2,2,5,,4,1,,1,3,5,4,4,5,4,4,5,3,3,3,4,4,4,3,3,3,5,3,4,5,5,4,4,4,4,4
12653234902,05/13/2021 11:10:43 AM,05/13/2021 11:16:22 AM,en,4,4,5,4,4,4,3,hadud6tr, buiyu yt,hdutsv  ,wggdzvrh ,4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,2,3,3,4,3,3,4,3,3,4,,3,3,4,4,3,3,3,4,3662,9,1,10,12,7,15,4,,2,6,,2,2,7,5,5,6,5,6,5,7,5,5,6,5,6,5,7,6,4,4,4,4,5,4,5,4,5,5
12653221065,05/13/2021 11:02:19 AM,05/13/2021 11:15:57 AM,en,2,3,3,2,4,3,3,Adele,Girlfriend,,,3,3,3,3,3,3,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,3,2,3,2,2,3,3,2,3,2,3,3,,3,3,2,3,3,3,2,3,,8,2,9,11,11,14,2,,3,8,,2,3,4,3,2,4,3,4,4,3,4,4,3,4,3,4,3,3,3,4,4,3,3,4,3,4,4,4
12653217303,05/13/2021 11:01:11 AM,05/13/2021 11:07:08 AM,en,3,4,3,4,4,4,3,Celine dion,The power of love,Unison,http://www.tudou.com/programs/view/oUKKvH39UYo ,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,3,3,2,2,2,3,2,3,2,3,3,3,2,3,2,2,2,3,,2,2,2,2,3,2,3,2,faith,19,2,8,8,8,8,5,,4,1,,2,3,3,4,5,4,3,4,4,4,3,4,5,4,4,5,3,5,3,4,3,4,3,4,5,5,4,3
12653199248,05/13/2021 10:51:20 AM,05/13/2021 11:02:48 AM,en,4,1,4,4,4,2,1,Dvorak,Serenade in E,,,3,1,3,3,1,4,1,3,4,4,1,1,1,1,3,3,3,1,1,1,1,1,3,1,1,4,1,2,1,1,3,1,1,Warmth and generosity of spirit,1,1,1,1,1,1,1,1,I don't consciously choose to listen to this music but am delighted when I hear it by chance on the radio. ,58,1,1,1,1,1,5,,5,3,,1,4,7,7,7,6,4,1,1,1,6,6,2,6,4,4,1,4,1,2,5,2,5,5,5,5,5,3
12653193979,05/13/2021 10:48:24 AM,05/13/2021 10:55:18 AM,en,3,4,4,3,3,3,4,lady gaga,born this way,,,2,3,3,3,4,3,2,2,2,2,3,2,2,2,2,2,3,2,4,3,3,2,3,3,3,2,3,2,2,2,2,3,2,excited,1,3,2,4,4,3,3,3,,18,2,4,4,4,4,6,,3,7,,2,4,5,4,3,4,4,4,3,4,3,4,4,5,5,4,4,5,4,3,3,4,3,4,3,4,4,4
12653110177,05/13/2021 09:57:24 AM,05/13/2021 10:42:17 AM,zh-tw,2,4,3,2,2,4,3,BEYOND,光辉岁月,,,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,1,4,4,1,4,4,4,2,1,4,4,2,,4,4,4,5,5,4,5,4,,28,2,1,1,1,1,4,,2,1,,2,4,7,6,7,6,7,7,7,6,7,7,7,6,6,7,7,6,7,6,6,6,7,7,7,7,6,7
12653108864,05/13/2021 09:57:18 AM,05/13/2021 10:40:07 AM,zh-tw,2,3,4,2,2,3,3,BEYOND,光辉岁月,,,4,3,2,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,2,4,2,2,4,4,2,4,4,4,2,1,4,4,1,,4,5,4,4,5,4,4,4,,32,2,1,1,1,1,5,,2,1,,2,4,7,6,7,7,6,7,7,6,6,6,7,7,6,6,7,7,7,6,7,7,7,6,7,7,7,7
12653154035,05/13/2021 10:25:50 AM,05/13/2021 10:40:05 AM,en,3,5,5,5,5,5,3,Matthew Lien,Bressanone,Bleeding Wolves,,4,3,3,3,3,3,3,3,3,3,4,3,3,2,4,3,3,3,3,4,1,2,3,4,2,3,2,3,2,1,3,3,3,Bressanone,4,4,4,4,4,4,4,4,love,40,2,185,185,185,185,4,,2,1,,3,4,7,7,7,7,6,6,5,4,6,6,6,6,7,7,7,6,7,2,6,2,4,6,6,2,6,6
12653152180,05/13/2021 10:25:21 AM,05/13/2021 10:39:08 AM,en,4,3,3,2,3,3,4,Celine dion,My heart will go on,,,4,3,2,3,4,4,2,3,4,3,3,3,3,1,4,3,3,1,2,4,2,4,3,1,4,3,3,3,3,3,2,4,2,love,3,3,3,3,3,3,3,3,I just love classics.,16,1,9,9,9,9,2,,2,5,,2,4,3,4,4,3,4,5,5,5,4,4,5,5,5,5,4,4,5,4,4,5,4,5,5,4,4,4
12653107651,05/13/2021 09:57:31 AM,05/13/2021 10:37:55 AM,zh-tw,3,2,3,3,2,2,4,BEYOND,真的爱你,,,4,3,4,4,3,4,4,4,4,4,4,1,4,2,4,4,4,4,4,4,3,1,4,2,1,4,4,4,1,1,4,4,1,,4,4,5,4,5,5,4,4,,36,1,1,1,1,1,5,,2,1,,2,4,6,7,7,7,6,7,7,7,7,7,6,7,7,7,6,7,7,6,7,7,6,7,7,7,6,7
12653111453,05/13/2021 09:57:39 AM,05/13/2021 10:36:25 AM,zh-tw,3,4,4,4,2,2,3,BEYOND,光辉岁月,,,3,4,3,4,4,4,4,4,4,3,4,1,4,4,4,4,3,4,4,4,3,2,4,2,1,4,4,4,3,1,4,4,2,,4,5,4,4,5,5,5,4,,31,2,1,1,1,1,4,,3,1,,2,4,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7
12653110823,05/13/2021 09:57:32 AM,05/13/2021 10:35:50 AM,zh-tw,3,4,2,4,3,2,2,BEYOND,光辉岁月,,,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,4,4,4,4,4,2,1,4,4,4,4,4,4,1,3,4,4,2,,4,4,5,5,4,5,5,5,,32,2,1,1,1,1,4,,2,1,,2,4,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,5,6,7,6,7,7,7,7,7,7
